,name,y_test_predict,test_score,test_r2_score,test_aue,test_rmse,rmse,test_kt,test_ev,test_med
0,decision_tree,"[  332.506        152.016        375.804        170.24
   204.852       1798.2512       415.6708       662.6172
   528.9416      3939.696        628.144        365.5172
   384.8685       103.49813333   162.1942       183.696
   313.248        164.16        2004.5232       170.1184
   146.86746667   139.872        161.0728       313.248
   404.9464       231.168        271.76         399.118
   707.3382       213.624        175.0272       244.928
   267.6544       393.6864       288.272        125.3008
   365.5172       194.2969       373.3088       865.2396
   411.2952       347.85        1047.9616       231.168
   182.8704       469.5688       548.0224       230.96933333
   431.6512       260.736        173.6512       224.51626667
   356.8          244.928        459.584       1422.7104
  1560.9272       134.9184       342.624        187.5324
   804.96         309.6          182.8704       357.072
   638.432        244.928        274.9248        99.636
   344.1376       547.2704       351.912        602.688
   169.248        260.3888       437.1552       101.5408
  2495.8352       120.608       1893.33504      676.2208
   947.7456      1893.33504      170.24         206.7904
   154.8          309.85417143   367.4952       293.88
   167.805        214.4727       139.872        774.784
   274.9248      2475.192        947.7456       407.64
   159.3408       804.96         104.576        351.7872
   202.272        350.2939       353.71          74.945
   347.85         838.3936      5674.4496      1000.962
   351.912        452.016        558.1728       789.824
   494.71786667   253.6576       183.62773333   393.6288
   314.76         257.9344       544.5248       170.24
   139.872        452.704        667.5864       104.1632
   303.5456       375.804        320.0576       205.9908
    85.4848       244.928        243.896        404.544
   227.1748       664.284        231.168        266.592
   155.6256       347.0272       105.6768       176.312
   619.2          598.4          260.3888       529.2032
   375.804        219.7472       139.872        460.999
   332.06826667   346.6534       232.4118       375.804
  1429.2832       683.6974        74.945        390.7616
   497.424        139.872        306.528        364.362
   315.936        139.872        134.408        413.5808
   202.272        219.7954       375.804        106.5024
  1231.984       1869.6336       738.3744       364.362
   231.168        647.4436       731.0344       291.712
   366.975        635.1616       387.392         97.3928
   483.32         176.1984       551.46         159.3408
   328.6272      1620.7636       659.9296      1348.5456
  1194.9984      1609.92         398.5024       207.6384
   723.7883        94.85226667   380.808        169.3856
   452.5664       215.8256       313.248        198.8304
   161.0728      1609.92        1000.962        561.397
   346.752        140.9088       103.49813333   244.928
   806.602        205.0276       291.4368       139.872
   431.417        244.928        235.04653333  1248.8612
   139.872        253.523        257.9344       170.24
   313.248        365.5172       953.7544       274.256
   146.6112       393.6864       339.9344       225.664
   119.0536       231.1928       397.5328      1321.3836
   255.456        476.2656       311.2512       532.6496
   433.7412       267.3568       346.752       1609.92
   815.4464       329.06057143   738.3744       294.12
  1056.174        398.5024       332.06826667   452.5664
   104.0256      1248.8612       785.844        625.7432
   599.757        233.32826667   953.7544       159.3408
   116.6848       351.912        244.928        693.504
   517.2384       646.72         347.85         247.6992
  1046.816        244.928        289.408        513.248
  1595.6376       413.884       1336.5816       231.168
   321.3278       329.9648       146.6112      1337.9376
   244.928        119.352       1429.2832       184.1088
   244.928        738.3744       330.048        260.736
   911.1872       469.5688       351.912        487.9296
   212.391        267.6544      1987.8048       225.664
   222.5888       547.2704       863.372        865.2396
  1534.3776       551.46         139.872        642.4072
  1869.6336       361.1664       497.424        392.16
   416.2528       366.975        231.168        429.39
   745.87         453.3188      4128.0864       254.6304
   242.004        490.544        128.2272       363.4144
   462.8096       244.928        170.1184       320.0576
   256.90752      685.326        393.6288       592.284
   189.1794       815.4464       189.3038       244.928
   231.168        245.256        244.623       1509.786
   244.928        392.16         635.1616      1318.608
   592.284        235.66746667   306.528        419.6112
   256.90752      139.872        206.7904       355.7722
  1219.8416       260.736        173.6512       177.296
   353.71        1285.4816      2218.506        605.9904
   761.032        167.805        619.2          961.83
   176.0768      1480.752        635.712       1321.296
   485.064        338.574       2333.7872       719.5808
   385.4352       767.432        242.004        128.2272
   231.168        184.1088       355.008         74.945
   170.24         153.9744       331.616        375.354
   437.5008       353.71         582.416        678.1188
   139.8536      2345.5264       469.5688       668.412
   351.912        239.53185      176.312        871.2
   139.872        139.872        989.9784      1439.002
   291.4368       322.8096       166.15253333   139.872
   312.8704        82.7664       320.0576       209.8464
   291.712        452.016        774.784        244.928
  1063.9584       476.096        134.9184       328.704
   157.9744       317.5808       291.4368       359.824
   255.456        223.31253333   302.2976       183.7298
   119.352        307.6736       145.8336       313.2822
   185.4848       357.072        194.656        293.4208
   153.54026667   440.62705      373.3088       312.9024
  1008.0288       877.412         96.79613333   274.256
   625.8048      1233.0336       159.2032       280.1664
   288.272        580.672        509.3888       214.4727
   108.4288       678.1188       781.0464       490.544
   474.1696       514.476        404.544        346.752
    97.3928       354.9248       594.594        466.7392
   104.576        316.48         139.872        315.656
   301.344        258.416       2218.506        173.6512
   279.7072      4020.336        167.805        323.2224
   243.896        504.304        354.2316      1869.6336
   183.696        155.4944       173.6512       128.2272
   139.872        385.7098       328.6272       268.392
   635.1616       334.2624       238.2          128.2272
   322.8096       398.5024       404.544        244.928
   278.9824       139.872        256.7616        97.3928
   815.4464       392.16         493.984        793.5888
   302.9952       184.68         244.928        244.928
   804.96         326.112        145.8304       610.304
   181.773        672.0384       244.928        199.2512
   215.1648       398.5024       287.3088       411.84
   392.16         139.872        137.19466667   493.984
   330.048        402.612        104.576        310.8064
   258.416        145.8336       183.7298      4317.9744
   101.5408       892.8528       357.9708      2961.2
   102.9248       815.4464       170.24         306.528
   216.72        1509.786        128.2272       176.0768
   190.2802       244.928        364.362        793.5888
   169.4242       170.24         504.304       1509.786
   925.0832       385.5552        97.3928       267.14057143
   612.7328        98.5144       641.216        175.0272
  2333.7872       693.504        610.3936       125.424
 10574.5304       206.7904        74.945        121.9136
   257.9344       625.8048       116.6848       664.284
   313.248        664.6968       329.06057143  1321.296
  1014.9376       313.248        139.872        223.31253333
   392.16         354.5952       260.3888      1321.3836
   271.76         235.9116       442.9344       769.8528
   602.688        219.7472       258.7835      1219.8416
   279.7072       123.12         707.8336       212.4544
   532.6496       231.856        429.312        672.0384
   182.8704       806.602        547.2704       139.872
   315.1688       146.352        191.5056      2982.0672
  1248.8612       699.47933333   316.48         170.24
   166.65706667  9663.008        871.5908       359.824
   584.2312       159.3408       280.36         244.928
   373.3088       222.5888        97.3928       410.5896
   149.25866667  4308.1256       647.4436      1285.4816
   122.464        391.9936       101.136        339.9344
   159.3408       623.0304       115.4902       437.568
  1056.174        314.9664       393.6864    ]",0.96074225849525,0.96074225849525,19.628108838307725,33163.81515462268,182.10934944319217,"KendalltauResult(correlation=0.9952010672028397, pvalue=6.00216934163107e-303)",0.9609221019296061,0.3941333333333432
1,linear_regression,"[ 5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.28391512e+02  5.29605500e+02  5.29605500e+02  5.63710898e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  4.72064161e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  4.69062316e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29609556e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.07130013e+02  5.29605500e+02  5.29605500e+02  1.86946795e+05
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.95233333e+02  5.29605500e+02  7.03232693e+05  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.33370666e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.33277976e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.54375248e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  1.81970129e+03  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.50783193e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.05542556e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  4.29756204e+02  5.21004982e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.47016954e+03
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.26380581e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.15220872e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.24702368e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  7.90172742e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.38504150e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.20887330e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.69136038e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29582287e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  2.26787906e+03  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29651284e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.20250861e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.25653036e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02 -1.35287282e+03  5.29605500e+02 -1.87705588e+08
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  2.90305372e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  9.93025366e+05  5.29605500e+02
  5.29605500e+02  5.29609946e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  7.97000179e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.30950687e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.28553157e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  2.97960715e+03  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.31088078e+02  5.29605500e+02  5.29605500e+02  5.29605500e+02
  5.29605500e+02  5.29605500e+02  5.29605500e+02]",-66522232.15579459,-66522232.15579459,302787.3465883115,56196076480470.695,7496404.236730481,"KendalltauResult(correlation=-0.07434773233720805, pvalue=0.020840733096849556)",-66418254.096533515,273.26289980910013
